frame,tp,fp,fn,gt_count,det_count,avg_conf,inference_ms
223,7,2,10,17,9,0.540351046456231,8.480655960738659
224,6,2,11,17,8,0.5534046962857246,8.671877905726433
225,5,4,12,17,9,0.5358327494727241,8.678135927766562
226,6,3,12,18,9,0.5700678328673044,7.319778669625521
227,6,4,12,18,10,0.5415176331996918,7.42520485073328
228,5,4,11,16,9,0.5612083574136099,9.288039058446884
229,5,5,11,16,10,0.5152164846658707,8.75457376241684
230,4,5,10,14,9,0.5625548263390859,8.599765598773956
231,4,5,10,14,9,0.54175665974617,8.769416250288486
232,4,3,10,14,7,0.6167157164641789,7.2732060216367245
233,4,4,11,15,8,0.5904141776263714,7.889933884143829
234,4,5,11,15,9,0.5372974508338504,9.082854725420475
235,4,4,11,15,8,0.5822179242968559,7.8858500346541405
236,4,6,11,15,10,0.48776504695415496,7.121526636183262
237,5,5,11,16,10,0.50174380838871,9.027509018778801
238,5,6,12,17,11,0.47232934832572937,8.61601298674941
239,5,4,12,17,9,0.5283830298317803,8.275714237242937
240,5,4,13,18,9,0.5587815344333649,9.386925026774406
241,6,4,13,19,10,0.5405620574951172,7.567082066088915
242,6,3,11,17,9,0.5463860366079543,7.5812446884810925
243,6,3,10,16,9,0.5407121181488037,8.30620201304555
244,5,3,12,17,8,0.5517738647758961,8.020603097975254
245,5,3,13,18,8,0.5510344095528126,8.236110210418701
246,6,3,12,18,9,0.5342242055469089,8.507529273629189
247,6,3,12,18,9,0.5326012670993805,7.973244413733482
248,5,4,13,18,9,0.5371919274330139,7.468024268746376
249,6,4,12,18,10,0.49249500334262847,9.736945386976004
250,6,3,13,19,9,0.567031161652671,8.716389071196318
251,6,2,13,19,8,0.5947714932262897,8.562417235225439
252,7,4,10,17,11,0.5365262952717867,8.75771977007389
253,7,4,11,18,11,0.5626638233661652,9.155067149549723
254,7,4,10,17,11,0.5645932555198669,7.346278987824917
255,8,3,10,18,11,0.5965089174834165,8.78637982532382
256,7,2,11,18,9,0.6549011369546255,7.371816784143448
257,8,3,10,18,11,0.5957221280444752,8.502224925905466
258,6,2,12,18,8,0.6617919467389584,8.73722368851304
259,7,3,12,19,10,0.5637129068374633,7.448736112564802
260,7,4,12,19,11,0.567738262089816,7.343996781855822
261,7,4,11,18,11,0.5433841781182722,8.46917787566781
262,7,3,11,18,10,0.602010840177536,8.622883819043636
263,8,3,11,19,11,0.5742345587773756,8.310196921229362
264,8,2,11,19,10,0.6033087581396103,7.759086322039366
265,7,2,12,19,9,0.6327252984046936,7.279147859662771
266,7,3,13,20,10,0.5760528326034546,7.5599318370223045
267,6,2,14,20,8,0.659283522516489,8.61547701060772
268,7,1,12,19,8,0.6483211815357208,8.125197142362595
269,7,2,13,20,9,0.5882127715481652,7.4797458946704865
270,6,2,13,19,8,0.6494620032608509,8.000107016414404
271,6,2,13,19,8,0.6525348015129566,8.541163057088852
272,6,2,14,20,8,0.6502143517136574,8.682646788656712
273,7,4,12,19,11,0.5413023395971819,8.09437409043312
274,8,3,11,19,11,0.56921447948976,6.7879557609558105
275,8,4,12,20,12,0.5159675454099973,6.381609011441469
276,7,3,13,20,10,0.5728377163410187,8.943299762904644
277,6,5,14,20,11,0.5350578942082145,8.338490966707468
278,6,4,14,20,10,0.5595911473035813,7.6491739600896835
279,7,5,12,19,12,0.5051975498596827,7.414295803755522
280,7,4,11,18,11,0.5253654312003743,7.197289727628231
281,6,5,12,18,11,0.5295752124352888,8.669937960803509
282,7,6,10,17,13,0.49263015389442444,8.6767696775496
283,6,5,11,17,11,0.48335865952751855,8.50703613832593
284,6,4,11,17,10,0.5080784320831299,8.882674854248762
285,6,5,11,17,11,0.4883435504003005,6.742551922798157
286,6,6,11,17,12,0.4959641993045807,7.651449181139469
287,6,7,11,17,13,0.5064303714495438,7.931957021355629
288,5,6,12,17,11,0.5156826376914978,8.55311006307602
289,6,5,11,17,11,0.529639412056316,8.477749768644571
290,7,3,11,18,10,0.5682813197374343,8.737733121961355
291,7,3,12,19,10,0.576466828584671,6.651486735790968
292,7,6,11,18,13,0.49237932150180524,8.115277159959078
293,8,4,10,18,12,0.5379271407922109,8.423178922384977
