frame,tp,fp,fn,gt_count,det_count,avg_conf,inference_ms
214,6,3,8,14,9,0.6690716048081716,7.699737325310707
215,6,2,8,14,8,0.7179644703865051,8.722017053514719
216,6,2,8,14,8,0.7362080365419388,8.38864827528596
217,6,2,8,14,8,0.7287319749593735,9.260861668735743
218,7,2,7,14,9,0.6757286952601539,9.056283626705408
219,7,2,7,14,9,0.6492555869950188,8.69290204718709
220,6,4,8,14,10,0.5689891934394836,6.768434774130583
221,10,1,6,16,11,0.5913963507522236,7.340494077652693
222,8,2,9,17,10,0.591840785741806,8.873057086020708
223,10,1,7,17,11,0.5614379237998616,9.333257097750902
224,10,0,7,17,10,0.623020327091217,8.946631103754044
225,10,0,7,17,10,0.6115229219198227,7.594060618430376
226,9,0,9,18,9,0.6346099774042765,8.659231942147017
227,9,0,9,18,9,0.6315609117348989,9.3755261041224
228,6,1,10,16,7,0.7244320894990649,8.486384060233831
229,7,2,9,16,9,0.6288423736890157,7.715775165706873
230,5,3,9,14,8,0.6716867722570896,9.074943140149117
231,6,5,8,14,11,0.5826240290294994,8.751417975872755
232,6,5,8,14,11,0.5844990069215948,9.119360707700253
233,7,5,8,15,12,0.5840090935428938,9.19087789952755
234,8,4,7,15,12,0.599562702079614,7.687665987759829
235,9,5,6,15,14,0.5534755630152566,9.496517945080996
236,8,5,7,15,13,0.5812580906427823,9.856844320893288
237,9,5,7,16,14,0.5395034636769976,6.782507058233023
238,11,2,6,17,13,0.5842923590770135,7.669811137020588
239,11,3,6,17,14,0.5624567163842065,9.560577105730772
240,9,3,9,18,12,0.5866075779000918,8.389891125261784
241,9,3,10,19,12,0.5853072802225748,9.120277129113674
242,10,3,7,17,13,0.5452478917745444,7.819487247616053
243,10,2,6,16,12,0.5594637965162595,8.773352019488811
244,9,2,8,17,11,0.5697876377539202,10.57176711037755
245,8,2,10,18,10,0.5819754421710968,8.810193743556738
246,7,3,11,18,10,0.5625817745923996,7.890010718256235
247,8,1,10,18,9,0.602978358666102,10.287566110491753
248,9,2,9,18,11,0.5321494503454729,7.967372890561819
249,10,1,8,18,11,0.5375794985077598,7.56071787327528
250,8,4,11,19,12,0.524829663336277,10.039843153208494
251,7,5,12,19,12,0.5594749401013056,8.086511865258217
252,7,6,10,17,13,0.5378912297578958,7.863717619329691
253,8,4,10,18,12,0.5704942072431246,9.429309982806444
254,8,5,9,17,13,0.5472929431841924,9.658819995820522
255,8,3,10,18,11,0.6237575113773346,8.901483844965696
256,8,2,10,18,10,0.6649522393941879,7.773335091769695
257,8,2,10,18,10,0.6487884938716888,8.465415798127651
258,8,4,10,18,12,0.5799356574813525,12.563779018819332
259,8,4,11,19,12,0.616382343073686,12.26034527644515
260,9,4,10,19,13,0.5880502714560583,14.362321235239506
261,8,4,10,18,12,0.6026525422930717,12.36483408138156
262,8,5,10,18,13,0.5599510990656339,14.806414023041725
263,8,1,11,19,9,0.7025596896807352,12.499160133302212
264,10,2,9,19,12,0.5745801975329717,14.476222917437553
265,10,3,9,19,13,0.5886239867943984,10.980778373777866
266,9,3,11,20,12,0.5839379578828812,12.028804048895836
267,10,2,10,20,12,0.5656817853450775,11.346030980348587
268,10,4,9,19,14,0.5407382547855377,12.237855233252048
269,10,3,10,20,13,0.5597755037821256,12.446335051208735
270,8,3,11,19,11,0.586564299735156,11.511635035276413
271,8,2,11,19,10,0.6151910424232483,10.471635963767767
272,8,3,12,20,11,0.5846316408027302,13.384826947003603
273,7,4,12,19,11,0.5860681479627435,9.388872422277927
274,8,4,11,19,12,0.5743364095687866,13.027920387685299
275,7,2,13,20,9,0.6744799315929413,12.06560293212533
276,8,2,12,20,10,0.627306655049324,11.97547372430563
277,8,2,12,20,10,0.6204333961009979,10.08427981287241
278,9,5,11,20,14,0.5271406237568174,12.28044182062149
279,8,4,11,19,12,0.5623948723077774,11.720208916813135
280,8,3,10,18,11,0.6060705157843503,13.757277745753527
281,8,4,10,18,12,0.5781631916761398,11.54350582510233
282,9,4,8,17,13,0.5620828866958618,12.268552090972662
283,9,4,8,17,13,0.5570081357772534,10.478481650352478
284,8,4,9,17,12,0.5931934838493665,13.51825287565589
285,9,4,8,17,13,0.5792485681863931,10.986552108079195
286,9,3,8,17,12,0.597035271426042,14.870753046125174
287,8,4,9,17,12,0.5921191026767095,12.817084323614836
288,8,4,9,17,12,0.5738882621129354,13.056179042905569
289,8,2,9,17,10,0.6130096405744553,10.308281984180212
290,9,1,9,18,10,0.6290901124477386,14.308779034763575
291,9,2,10,19,11,0.6058318723331798,13.571028131991625
292,8,4,10,18,12,0.5702540005246798,9.591581765562296
293,8,3,10,18,11,0.6078214184804396,12.206553015857935
294,9,2,9,18,11,0.6250747523524545,10.907439980655909
295,9,2,9,18,11,0.6405142545700073,11.292653158307076
296,9,2,9,18,11,0.6355841159820557,11.032676789909601
297,8,3,9,17,11,0.622434223240072,12.094149831682444
298,9,3,8,17,12,0.5931555504600207,13.591702096164227
299,9,3,8,17,12,0.5922400976220766,9.54784220084548
300,7,5,11,18,12,0.6104628816246986,13.657088857144117
301,10,6,8,18,16,0.5338379256427288,11.97194866836071
302,10,6,8,18,16,0.5411406885832548,11.85661181807518
303,9,5,9,18,14,0.6093991632972445,10.410761926323175
304,9,4,10,19,13,0.6472801634898553,11.857602279633284
305,10,5,9,19,15,0.600663548707962,10.906933341175318
306,9,4,10,19,13,0.6589713096618652,12.478415854275227
307,10,3,9,19,13,0.653186151614556,12.632949277758598
308,9,4,9,18,13,0.6663202070272886,10.311184916645288
309,9,5,10,19,14,0.6327858992985317,12.998375110328197
310,9,3,10,19,12,0.7062555203835169,12.13783212006092
311,11,3,7,18,14,0.6433709476675306,11.936368886381388
312,11,4,7,18,15,0.605220780769984,12.895976658910513
313,10,4,8,18,14,0.6307641565799713,12.724422849714756
314,11,7,7,18,18,0.56769902838601,11.766667012125254
315,11,5,6,17,16,0.6034637708216906,14.66630632057786
316,11,3,6,17,14,0.6410897267716271,10.331122670322657
317,12,3,5,17,15,0.6333294252554575,15.405026730149984
318,10,4,7,17,14,0.6549503420080457,10.570394806563854
319,11,4,6,17,15,0.6253610173861186,16.59654313698411
320,11,4,6,17,15,0.6305549641450247,12.134606949985027
321,10,3,7,17,13,0.6685247169091151,14.199609868228436
322,10,3,7,17,13,0.6727744891093328,10.482310317456722
323,10,4,6,16,14,0.6437836353267942,12.611520942300558
324,10,5,5,15,15,0.6172802825768788,11.068274732679129
325,10,2,5,15,12,0.6575546761353811,12.972989119589329
326,10,2,6,16,12,0.6509002124269804,11.198547203093767
327,9,5,7,16,14,0.5747272989579609,11.801981832832098
328,9,5,7,16,14,0.567031877381461,12.406638823449612
329,7,5,9,16,12,0.5847048535943031,14.91262810304761
330,8,9,7,15,17,0.50175800744225,12.17600703239441
331,8,5,8,16,13,0.5473981339197892,11.239555664360523
332,8,4,8,16,12,0.5735320895910263,12.438252102583647
333,7,7,9,16,14,0.5288079019103732,13.165696058422327
334,7,6,9,16,13,0.5796998211970696,12.096154037863016
335,9,6,8,17,15,0.56768985191981,11.380376759916544
336,10,6,7,17,16,0.5332240331918001,11.228932067751884
337,8,9,6,14,17,0.5038795225760516,13.316253200173378
338,7,7,8,15,14,0.5349810144730976,13.464394025504589
339,7,5,7,14,12,0.5574339504043261,9.281075093895197
340,5,5,9,14,10,0.6214757680892944,13.154542073607445
341,6,5,8,14,11,0.5693371783603322,11.65605429559946
342,6,4,8,14,10,0.5852325409650803,10.523363947868347
343,6,4,9,15,10,0.5713728785514831,14.039529953151941
344,6,5,9,15,11,0.5542628196152773,9.64164873585105
345,5,6,10,15,11,0.5351172495972026,12.404866982251406
346,5,5,10,15,10,0.567962110042572,11.692191008478403
347,4,4,11,15,8,0.6304666437208652,13.461621012538671
348,5,6,10,15,11,0.5755132436752319,9.821261744946241
349,5,8,10,15,13,0.5228849213856918,12.518672738224268
350,6,7,9,15,13,0.5459633882229145,12.033150997012854
351,6,7,8,14,13,0.5520274937152863,14.657034073024988
352,6,4,8,14,10,0.636287385225296,9.75008588284254
353,6,6,9,15,12,0.6003986572225889,14.42542765289545
354,6,5,9,15,11,0.6520117358727888,11.604882311075926
355,6,5,8,14,11,0.6593849062919617,12.728718109428883
356,6,6,7,13,12,0.6295796558260918,11.035779025405645
357,6,6,6,12,12,0.604381317893664,15.72896121069789
358,6,5,6,12,11,0.6384851201014086,9.527618996798992
359,6,7,6,12,13,0.577127802830476,12.679426930844784
360,6,5,5,11,11,0.6443718265403401,10.469404049217701
361,6,5,5,11,11,0.6231519390236248,15.845142770558596
362,6,5,5,11,11,0.6092655577442863,11.44649088382721
363,6,6,5,11,12,0.5842504799365997,12.578556779772043
364,6,6,5,11,12,0.5888702695568403,11.900700628757477
365,6,3,4,10,9,0.657666501071718,14.53198678791523
366,6,4,4,10,10,0.6304026514291763,10.7253547757864
367,5,3,5,10,8,0.7153774537146091,13.16729374229908
368,5,4,5,10,9,0.6667033500141568,9.678167290985584
369,5,3,5,10,8,0.7134799286723137,16.2111627869308
370,5,5,4,9,10,0.6311255902051925,9.229723364114761
371,5,6,4,9,11,0.5863232937726107,15.992023050785065
372,5,7,4,9,12,0.5980668316284815,11.63840712979436
373,6,7,4,10,13,0.5771953578178699,13.203303329646587
374,5,9,5,10,14,0.5638021635157722,12.090920004993677
375,5,8,6,11,13,0.5612801267550542,15.158816240727901
376,5,5,6,11,10,0.6643982589244842,11.743512004613876
377,7,6,4,11,13,0.5859940785628098,12.03442132100463
378,7,6,3,10,13,0.6120776946728046,11.427599005401134
379,7,5,3,10,12,0.6164384757479032,14.833738096058369
